FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
HGFF11,FUNDO DE FUNDOS,"90,49","749.629,44","0,97","0,70","0,80 %","2,45 %","4,74 %","9,94 %","0,82 %","0,79 %","0,83 %","9,94 %","4,95 %","5,79 %","35,20 %","269.150.736,82","93,99","0,96","0,74 %","8,23 %","9,04 %","14,86 %",0,"17,29",16.973,N/A,N/A,N/A
HGIC11,PAPÉIS,"104,99","13.299,29","0,89","1,02","0,96 %","2,88 %","5,79 %","10,45 %","0,96 %","0,97 %","0,87 %","10,45 %","-0,09 %","0,86 %","1,03 %","54.474.179,06","117,73","0,89","0,86 %","2,62 %","3,51 %","23,06 %",0,"28,90",364,N/A,N/A,N/A
HGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"163,60","11.567.416,00","1,03","1,10","0,68 %","2,06 %","4,09 %","8,41 %","0,69 %","0,68 %","0,70 %","8,41 %","0,37 %","1,05 %","7,08 %","5.346.515.836,24","158,24","1,03","0,70 %","2,73 %","3,45 %","19,93 %",25,"7,56",441.076,N/A,N/A,N/A
HGPO11,LAJES CORPORATIVAS,"286,79","590.389,00","0,93","1,50","0,53 %","1,61 %","3,27 %","7,03 %","0,54 %","0,55 %","0,59 %","7,03 %","2,22 %","2,76 %","15,32 %","541.043.026,56","308,63","0,93","0,49 %","3,09 %","3,59 %","23,44 %",2,"13,79",18.584,N/A,N/A,N/A
HGRE11,LAJES CORPORATIVAS,"132,88","1.562.412,78","0,87","1,20","0,90 %","2,14 %","3,83 %","8,11 %","0,71 %","0,64 %","0,68 %","8,11 %","2,26 %","3,18 %","17,34 %","1.812.096.739,54","153,34","0,87","0,78 %","-2,26 %","-1,50 %","-1,19 %",17,"22,30",148.156,N/A,N/A,N/A
HGRS11,IMÓVEIS RESIDENCIAIS,N/A,N/A,N/A,"1,15","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"58.983.088,31","92,86",N/A,"0,00 %","0,00 %","0,00 %","0,00 %",2,N/A,6,N/A,N/A,N/A
HGRU11,MISTO,"139,30","3.413.513,72","1,10","2,30","1,64 %","2,93 %","4,82 %","9,42 %","0,98 %","0,80 %","0,79 %","9,42 %","4,09 %","5,80 %","25,84 %","2.336.914.152,37","126,96","1,10","1,81 %","3,31 %","5,18 %","19,57 %",71,"14,13",207.752,N/A,N/A,N/A
HILG11,INDEFINIDO,N/A,N/A,N/A,"2,67","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"98.626.409,48",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,50,N/A,N/A,N/A
HLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"84,16","61.575,08","0,72","0,65","0,76 %","2,21 %","4,29 %","8,80 %","0,74 %","0,72 %","0,73 %","8,80 %","-4,10 %","-3,37 %","3,49 %","496.904.714,99","116,92","0,72","0,56 %","0,39 %","0,94 %","11,92 %",5,"14,76",4.272,N/A,N/A,N/A
HOFC11,LAJES CORPORATIVAS,"19,05","69.553,08","0,29","0,20","1,07 %","2,14 %","3,97 %","9,44 %","0,71 %","0,66 %","0,79 %","9,44 %","-7,01 %","-6,02 %","-27,04 %","262.820.636,26",N/A,N/A,N/A,N/A,N/A,N/A,4,"21,02",6.806,N/A,N/A,N/A
